recordType,valid,arm,pane,rep,at,openMs,bubbles,contentHash,expectedHash,readiness,harness,configCaptureMs,configHash,configProtocol,uptimeBefore,uptimeAfter,error
timing,True,r2,cf-person-inbox,round3-4,2026-09-15T05:25:40.293Z,224.89999999850988,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:25  up  7:56, 14 users, load averages: 20.83 15.90 17.88","22:25  up  7:57, 14 users, load averages: 23.54 16.73 18.14",
timing,True,r2,header,round3-4,2026-09-15T05:25:52.738Z,1077.9000000022352,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:25  up  7:57, 14 users, load averages: 23.54 16.73 18.14","22:26  up  7:57, 14 users, load averages: 22.78 16.80 18.15",
timing,True,r2,header,round3-5,2026-09-15T05:26:02.389Z,2516.699999999255,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:26  up  7:57, 14 users, load averages: 22.78 16.80 18.15","22:26  up  7:57, 14 users, load averages: 21.42 16.71 18.10",
timing,True,r2,cf-person-inbox,round3-5,2026-09-15T05:26:13.749Z,114,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:26  up  7:57, 14 users, load averages: 21.42 16.71 18.10","22:26  up  7:57, 14 users, load averages: 23.61 17.33 18.30",
timing,True,r3,header,round3-5,2026-09-15T05:26:25.366Z,941.1999999992549,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:26  up  7:57, 14 users, load averages: 23.61 17.33 18.30","22:26  up  7:57, 14 users, load averages: 26.50 18.17 18.59",
timing,True,r3,cf-person-inbox,round3-5,2026-09-15T05:26:33.827Z,121.19999999925494,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:26  up  7:57, 14 users, load averages: 26.50 18.17 18.59","22:26  up  7:57, 14 users, load averages: 26.94 18.40 18.67",
timing,True,r3,cf-person-inbox,round3-6,2026-09-15T05:26:37.883Z,126.19999999925494,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:26  up  7:57, 14 users, load averages: 26.94 18.40 18.67","22:26  up  7:58, 14 users, load averages: 25.50 18.24 18.61",
timing,True,r3,header,round3-6,2026-09-15T05:26:43.429Z,846.1000000014901,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:26  up  7:58, 14 users, load averages: 25.50 18.24 18.61","22:26  up  7:58, 14 users, load averages: 24.26 18.10 18.56",
timing,True,r2,cf-person-inbox,round3-6,2026-09-15T05:26:49.624Z,122.39999999850988,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:26  up  7:58, 14 users, load averages: 24.26 18.10 18.56","22:26  up  7:58, 14 users, load averages: 22.80 17.90 18.49",
timing,True,r2,header,round3-6,2026-09-15T05:26:53.581Z,860.3000000007451,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:26  up  7:58, 14 users, load averages: 22.80 17.90 18.49","22:26  up  7:58, 14 users, load averages: 21.37 17.69 18.41",
